DATE,AIRLINE,FLIGHT,ORIGIN,DESTINATION,DEPART,ARRIVE,DELAY,TIME,DISTANCE,TAIL,TYPE
2022-09-01,UA,432,ATL,EWR,7:48PM,10:01PM,-28M,2H13M,745MI,N827UA,A319
2022-10-06,UA,1803,EWR,MEM,12:18PM,1:55PM,-12M,2H37M,944MI,N853UA,A319
2022-10-09,UA,2615,MEM,EWR,3:25PM,7:28PM,55M,3H03M,944MI,N847UA,A319
2023-04-16,UA,2168,EWR,PBI,7:00AM,9:54AM,18M,2H54M,1025MI,N27269,B38M
2023-04-21,UA,2300,PBI,EWR,7:03PM,10:03PM,10M,3H00M,1025MI,N76504,B738
2023-05-07,UA,1739,EWR,MCO,10:50AM,1:16PM,-32M,2H26M,938MI,N35236,B738
2023-05-13,UA,2155,MIA,EWR,1:13PM,4:06PM,-24M,2H53M,1087MI,N17279,B38M
2023-07-14,UA,2206,EWR,IAH,3:47PM,6:49PM,22M,4H02M,1398MI,N644UA,B763
2023-07-17,UA,1429,IAH,EWR,12:28PM,11:58PM,6H43M,10H30M,1398MI,N649UA,B763
2023-10-19,DL,5027,LGA,MEM,5:35PM,7:19PM,-21M,2H44M,961MI,N910XJ,CRJ9
2023-10-22,DL,3799,MEM,LGA,12:14PM,3:37PM,-32M,2H23M,961MI,N244SY,E75W
2024-01-10,UA,439,EWR,PBI,4:43PM,7:32PM,-17M,2H49M,1025MI,N68452,B739
2024-01-17,UA,2209,PBI,EWR,9:49PM,12:29AM,3H47M,2H40M,1025MI,N37471,B739
2024-02-16,UA,3592,LGA,IAD,7:44PM,9:05PM,-15M,1H21M,227MI,N736YX,E75W
2024-02-20,UA,3544,IAD,LGA,5:28PM,7:45PM,39M,2H17M,227MI,N739YX,E75W
2024-03-17,B6,2432,LGA,BOS,9:06AM,10:07AM,-20M,1H1M,184MI,N334JB,E190
2024-03-21,B6,1231,BOS,LGA,5:03PM,6:38PM,11M,1H35M,184MI,N228JB,E190
2024-10-04,DL,1,JFK,LHR,7:42PM,7:51AM,-14M,7H9M,3443MI,N829MH,B764
2024-10-09,AF,8,CDG,JFK,5:39PM,7:42PM,52M,8H3M,3626MI,F-GSQJ,B773
2024-12-19,UA,1796,EWR,PHX,7:41AM,11:10AM,-2M,5H29M,2127MI,N14115,B752
2024-12-29,UA,1797,PHX,EWR,12:36AM,7:18AM,18M,4H42M,2127MI,N77430,B739
2025-01-08,UA,716,EWR,PBI,8:49PM,11:39PM,2H13M,2H50M,1025MI,N68801,B739
