DATE,AIRLINE,FLIGHT,ORIGIN,DESTINATION,DEPART,ARRIVE,DELAY,TIME,DISTANCE,TAIL,TYPE
2018-07-03,KL,1640,FLR,AMS,11:43AM,1:35PM,0m,1h52m,658mi,PH-EZH,E190
2018-07-03,KL,645,AMS,JFK,2:31PM,4:08PM,-22m,7h37m,3635mi,PH-BHD,B789
2018-12-20,UA,343,EWR,PBI,9:29AM,1:20PM,52m,3h51m,1025mi,N403UA,A320
2018-12-31,UA,600,PBI,EWR,2:38PM,5:21PM,-11m,2h43m,1025mi,N406UA,A320
2019-04-04,B6,299,LGA,MCO,4:50PM,7:26PM,-4m,2h36m,951mi,N598JB,A320
2019-04-07,B6,398,MCO,LGA,12:10PM,2:30PM,-29m,2h20m,951mi,N535JB,A320
2019-05-02,UA,36,EWR,EDI,8:38PM,8:43AM,38m,7h5m,3260mi,N14107,B752
2019-05-10,UA,39,EDI,EWR,9:21AM,11:52AM,-28m,7h31m,3260mi,N17122,B752
2019-07-29,DL,1523,EWR,ATL,8:53AM,11:01AM,-20m,2h08m,745mi,N967AT,B712
2019-08-01,DL,1878,ATL,EWR,7:24PM,9:39PM,22m,2h14m,745mi,,
2019-09-06,BA,172,JFK,LHR,10:47PM,10:23AM,1h18m,6h36m,3443mi,G-CIVM,B744
2019-09-14,BA,177,LHR,JFK,1:41PM,4:18PM,18m,7h37m,G-CIVE,B744
2020-01-01,UA,625,EWR,PBI,11:44AM,2:34PM,-10m,2h50m,1025mi,N434UA,A320
2020-01-08,UA,628,PBI,EWR,4:24PM,7:37PM,2h12m,3h13m,1025mi,N409UA,A320
2020-01-30,UA,1102,EWR,MCO,2:29PM,5:25PM,4m,2h56m,938mi,N33132,B752
2020-02-02,UA,1194,MCO,EWR,4:07PM,6:45PM,-11m,2h42m,938mi,N38424,B739
2021-03-16,UA,1620,EWR,PBI,2:35PM,5:27PM,-9m,2h52m,1025mi,N37466,B739
2021-03-28,UA,1067,PBI,EWR,12:57PM,3:52PM,-4m,2h55m,1025mi,N68842,B739
2021-09-03,DL,490,LGA,ATL,4:07PM,6:16PM,-20m,2h09m,761mi,N381DZ,A321
2021-09-03,DL,2668,ATL,MEM,8:02PM,8:14PM,4m,1h12m,331mi,N110DX,A321
2021-09-07,DL,82,MEM,ATL,1:41PM,4:09PM,7m,1h28m,331mi,N659DL,B752
2021-09-07,DL,499,ATL,LGA,6:14PM,8:12PM,-5m,1h58m,761mi,N107DN,A321
2022-01-08,UA,1950,EWR,PBI,9:31AM,12:45PM,28m,3h14m,1025mi,N17264,B38M
